Player;Shot;Type;Stroke;Spin;Speed (KM/H);Point;Game;Set;Bounce Depth;Bounce Zone;Bounce Side;Bounce (x);Bounce (y);Hit Depth;Hit Zone;Hit Side;Hit (x);Hit (y);Hit (z);Direction;Result;Favorited;Start Time;Video Time
Rasmus Kopperud Riis;0;none;Forehand;Flat;19,736767;97;0;0;short;deuce;far;-0,432512;13,113482;short;deuce;far;-0,671408;15,028311;5,485778;cross court;Net;false;07:50:48;1893,609985
Rasmus Kopperud Riis;1;serve;Serve;Flat;202,92749;98;0;0;short;deuce;near;0,988458;6,157478;short;deuce;far;0,133848;23,439278;3,536458;down the T;In;false;07:50:58;1902,839966
Rikard Rykkvin;2;return;Backhand;Flat;56,221058;98;0;0;short;ad;far;0,224604;18,011921;out;deuce;near;1,198642;-0,214473;1,036214;inside in;In;false;07:50:58;1903,540039
Rikard Rykkvin;1;serve;Serve;Flat;115,825188;99;0;0;deep;deuce;far;-2,72084;18,343452;short;deuce;near;1,348285;0,130988;3,341141;out wide;Out;false;07:51:35;1940,160034
Rasmus Kopperud Riis;2;return;Forehand;Flat;83,502861;99;0;0;deep;deuce;near;0,528301;4,399407;deep;deuce;far;-1,764686;23,544167;1,940983;cross court;In;false;07:51:36;1941,22998
Rikard Rykkvin;1;serve;Serve;Flat;108,621964;100;0;0;short;deuce;far;-1,441618;16,594749;deep;deuce;near;1,374956;0,320098;2,578128;down the T;In;false;07:51:43;1948,699951
Rasmus Kopperud Riis;2;return;Forehand;Flat;70,454124;100;0;0;deep;deuce;near;0,502003;5,36079;out;deuce;far;-2,640396;24,8584;0,847998;cross court;In;false;07:51:45;1949,959961
Rikard Rykkvin;3;serve_plus_one;Forehand;Topspin;57,977604;100;0;0;out;deuce;far;-0,826884;25,143295;deep;deuce;near;0,855082;0,162642;1,214138;cross court;Out;false;07:51:46;1951,459961
Rikard Rykkvin;1;serve;Serve;Slice;65,475403;101;0;0;short;ad;near;-0,872202;11,567887;deep;ad;near;-1,20714;0,723504;2,73218;down the T;Net;false;07:51:59;1964,170044
Rikard Rykkvin;1;serve;Serve;Flat;96,543571;102;0;0;short;ad;far;1,652261;16,307346;deep;ad;near;-0,519442;0,978535;2,585305;down the T;In;false;07:52:05;1970,810059
